action_date,t,parent_recipient_unique_id
2008-11-25,2,
2005-09-30,4,
2005-09-10,6,000000000
2005-07-08,2,000000000
2005-02-23,6,000000000
2005-02-24,9,000000000
2005-02-23,3,000000000
2004-04-28,5,000000000
2004-04-27,1,000000000
2005-10-13,4,000000000
2007-09-26,5,
2007-09-25,1,
2007-09-26,1,
2007-09-25,1,
2007-09-25,0,
2007-09-25,3,
2007-09-04,3,
2007-09-04,4,
2007-09-04,3,
2007-09-04,6,
2007-09-24,1,
2007-09-24,4,
2007-09-24,0,
2007-05-24,3,
2007-09-25,5,
2007-09-25,0,
2007-09-25,7,
2007-09-25,0,
2007-09-24,1,
2007-09-24,2,
2007-09-24,0,
2007-09-24,1,
2007-09-18,2,
2007-09-17,0,
2007-09-18,0,
2007-09-18,2,
2007-09-18,2,
2008-06-17,7,
2008-06-17,1,
2008-06-17,7,
2008-06-17,7,
2008-06-17,4,
2008-06-17,8,
2008-06-17,6,
2005-10-11,2,000000000
2004-04-19,1,000000000
2004-04-19,2,000000000
2004-04-16,1,000000000
2003-10-01,1,000000000
2004-04-12,1,000000000
2004-04-08,1,000000000
2004-04-12,8,000000000
2006-11-27,2,
2006-11-28,7,
2006-11-27,8,
2006-11-27,1,
2006-11-27,3,
2006-11-27,9,
2006-11-27,2,
2006-11-27,1,
2006-11-21,1,
2006-11-21,2,
2006-11-21,1,
2006-11-21,8,
2006-11-21,2,
2006-11-21,2,000000000
2006-11-21,1,
2006-11-21,4,
2006-11-21,1,
2006-09-07,4,000000000
2006-11-21,1,
2006-11-20,4,
2006-11-20,5,
2006-11-21,4,
2006-11-21,6,
2006-11-21,4,
2006-11-21,4,
2006-11-21,7,
2006-11-21,2,
2006-11-20,5,
2006-11-20,2,
2006-11-20,4,
2006-11-21,1,
2006-11-21,8,
2006-11-21,2,
2006-11-20,1,
2006-11-20,3,
2006-11-21,2,
2006-11-24,2,
2006-11-22,4,
2006-11-24,5,000000000
2006-11-20,5,
2006-11-20,2,
2006-11-20,5,
2006-11-20,1,
2006-11-20,7,
2006-11-20,5,
2006-11-20,2,
2006-11-20,2,
2006-11-20,7,
2006-11-20,5,
2006-11-20,1,
2006-11-17,8,
2006-11-20,2,
2006-11-20,4,
2006-11-20,1,
2006-11-20,8,
2004-04-23,7,000000000
2004-04-23,3,000000000
2008-06-16,5,
2008-06-17,6,
2008-06-17,7,
2008-06-17,4,
2008-06-11,5,
2008-05-29,-,
2008-05-29,-,
2008-05-29,-,
2008-05-29,9,
2008-05-29,-,
2008-05-29,2,
2008-05-29,1,
2008-05-29,-,
2008-05-29,-,
2008-05-29,4,
2008-05-29,-,
2008-05-29,7,
2008-05-29,1,
2008-05-29,1,
2008-05-29,3,
2008-05-29,9,
2008-05-29,-,
2008-05-29,4,
2008-05-06,-,
2008-05-06,-,
2008-05-06,-,
2008-05-06,5,
2008-05-06,-,
2008-05-06,1,
2008-05-06,-,
2008-05-06,-,
2008-05-05,-,
2008-05-06,-,
2008-05-05,6,
2008-05-06,1,
2008-05-06,-,
2008-05-06,-,
2008-05-06,1,
2008-05-06,2,
2008-05-06,6,
2008-05-06,7,
2008-05-05,-,
2007-09-26,1,
2007-09-26,1,
2007-09-26,0,
2007-09-26,1,
2007-09-26,0,
2008-06-20,2,
2008-06-20,7,
2008-06-20,2,
2008-06-20,1,
2008-06-20,1,
2008-06-20,1,
2008-06-20,5,
2008-06-20,1,
2008-06-20,9,
2008-06-20,4,
2008-06-20,1,
2008-06-20,5,
2008-06-20,3,
2008-06-20,1,
2008-06-20,5,
2006-11-29,2,
2006-11-29,2,
2006-11-29,6,
2004-03-18,6,000000000
2008-06-16,0,
2003-01-15,0,000000000
2002-01-14,1,000000000
2002-01-15,0,000000000
2003-01-15,0,000000000
2003-01-14,1,000000000
2003-01-15,0,000000000
2005-02-16,1,000000000
2005-02-14,3,000000000
2005-02-14,1,000000000
2004-12-15,2,000000000
2004-10-01,3,000000000
2005-02-11,1,000000000
2005-02-11,9,000000000
2005-01-21,4,000000000
2005-01-21,4,000000000
2005-01-21,9,000000000
2005-01-21,4,000000000
2005-01-21,9,000000000
2005-01-21,4,000000000
2005-01-21,1,000000000
2007-05-22,1,
2007-05-22,1,
2007-03-12,2,
2006-11-30,3,
2006-11-30,5,
2006-11-30,6,
2007-05-21,2,
2005-02-22,1,000000000
2007-05-10,1,
2008-09-26,0,
2008-09-26,1,
2008-09-26,2,
2008-09-25,1,
2008-09-26,9,
2008-09-25,2,
2008-09-26,7,
2008-08-27,4,
2008-06-17,1,
2008-06-17,1,
2007-05-23,1,000000000
2005-02-18,4,000000000
2003-01-15,0,000000000
2006-06-01,5,000000000
2006-03-10,6,000000000
2005-02-23,6,000000000
2005-02-23,3,000000000
2005-02-23,3,000000000
2005-02-23,6,000000000
2005-02-23,5,000000000
2005-02-23,4,000000000
2005-02-23,9,000000000
2005-02-23,1,000000000
2014-10-01,5,
2008-02-12,8,
2008-02-11,4,
2008-02-12,3,
2008-02-11,1,
2008-01-11,6,
2008-01-11,1,
2008-01-11,9,
2008-01-14,2,
2008-01-11,1,
2008-01-11,1,
2008-01-11,7,
2008-01-11,6,
2008-01-11,5,
2008-01-11,7,
2008-01-14,5,
2008-01-11,1,
2008-01-11,1,
2008-01-11,4,
2008-01-11,3,
2008-01-11,1,
2008-01-11,9,
2008-01-14,2,
2008-01-14,6,
2008-01-14,1,
2008-01-11,9,
2008-01-11,3,
2008-01-11,5,
2008-01-11,4,
2008-01-11,8,
2008-01-11,8,
2008-01-11,6,
2008-01-11,5,
2008-01-11,9,
2007-09-27,0,
2007-09-27,4,
2007-09-27,0,
2007-09-27,1,
2007-09-27,0,
2007-09-26,1,
2007-09-27,0,
2007-09-27,1,
2007-09-27,1,
2008-02-11,2,
2008-02-11,1,
2008-02-11,1,
2008-02-11,1,
2008-01-31,4,
2008-08-25,4,
2008-08-25,4,
2008-08-25,6,
2008-08-25,3,
2008-08-25,4,
2001-12-15,0,000000000
2001-11-15,0,000000000
2005-07-01,2,000000000
2005-07-01,1,000000000
2005-05-04,1,000000000
2005-02-25,2,000000000
2005-02-25,5,000000000
2005-02-25,1,000000000
2005-02-25,5,000000000
2005-02-25,2,000000000
2004-10-01,8,000000000
2003-10-01,4,000000000
2003-10-01,3,000000000
2003-10-01,1,000000000
2005-07-01,2,000000000
2007-07-31,0,000000000
2007-07-31,2,000000000
2007-07-27,3,
2007-07-17,0,000000000
2007-07-16,7,
2007-07-17,6,
2007-07-17,5,
2007-07-16,1,
2005-07-05,0,000000000
2005-07-05,2,000000000
2009-02-17,7,
2008-08-26,1,
2008-08-26,4,
2008-08-26,1,
2005-07-01,2,000000000
2005-06-10,3,000000000
2009-02-23,2,
2006-08-30,1,000000000
2003-10-01,1,000000000
2009-02-24,0,
2012-07-02,7,
2007-08-01,0,
2007-08-01,1,
2007-08-01,4,
2007-08-01,0,
2007-08-01,5,
2007-08-01,3,
2007-08-01,4,
2003-10-01,1,000000000
2003-10-01,2,000000000
2003-10-01,5,000000000
2003-10-01,2,000000000
2003-10-01,3,000000000
2003-10-01,2,000000000
2004-10-01,2,000000000
2004-08-11,5,000000000
2004-08-11,5,000000000
2004-05-03,6,000000000
2003-10-01,1,000000000
2003-10-01,2,000000000
2004-09-17,3,000000000
2007-01-25,6,
2007-01-25,8,
2008-08-26,3,
2008-08-26,5,
2008-08-26,5,
2008-08-26,5,
2008-08-25,6,
2008-08-25,2,
2008-08-25,5,
2008-08-25,6,
2008-08-25,4,
2008-08-25,7,
2008-08-25,6,
2008-08-22,1,
2008-08-21,8,
2008-08-21,7,
2008-08-21,1,
2008-08-21,7,
2008-08-21,9,
2008-08-21,1,
2008-08-21,9,
2008-08-22,6,
2008-08-20,1,
2008-08-25,4,
2008-08-25,2,
2001-11-15,0,000000000
2006-01-01,2,000000000
2005-07-07,0,000000000
2008-08-26,1,
2008-08-26,4,
2008-08-26,8,
2008-08-26,7,
2008-08-26,0,
2008-08-26,7,
2008-08-26,6,
2008-08-26,1,
2006-03-06,4,000000000
2007-09-27,0,
2007-09-27,4,
2007-09-27,0,
2007-09-27,4,
2007-09-27,0,
2007-09-27,4,
2007-09-27,0,
2007-09-27,4,
2007-09-27,1,
2007-09-27,0,
2007-08-01,1,
2007-08-01,0,
2001-12-15,0,000000000
2000-12-15,0,000000000
2002-07-15,0,000000000
2002-01-15,0,000000000
2004-01-08,2,000000000
2004-01-07,2,000000000
2004-01-08,1,000000000
2004-01-08,3,000000000
2004-01-05,1,000000000
2004-01-07,1,000000000
2003-10-01,2,000000000
2005-08-16,9,000000000
2004-12-13,1,000000000
2004-01-16,7,000000000
2007-08-30,8,
2007-08-29,3,
2007-08-29,4,
2007-08-29,4,
2007-08-29,3,
2007-08-29,2,
2007-08-29,9,
2007-08-02,2,
2007-08-28,6,
2007-08-28,2,
2007-08-28,3,
2007-08-28,1,
2007-08-28,5,
2007-08-28,2,
2007-08-28,5,
2007-08-28,3,
2007-08-28,7,
2007-08-28,3,
2007-08-28,1,
2007-08-29,1,
2007-08-29,1,
2007-08-29,2,
2007-08-29,8,
2007-08-28,5,
2007-08-28,4,
2007-08-28,2,
2007-08-28,9,
2007-08-28,3,
2007-08-28,1,
2007-08-28,1,
2007-08-28,3,
2007-08-17,4,
2007-08-17,2,
2007-08-17,1,
2007-08-17,1,
2007-08-17,1,
2007-08-17,2,
2007-08-17,9,
2007-08-17,2,
2007-08-17,2,
2007-08-17,4,
2007-08-17,9,
2007-08-17,4,
2007-08-17,3,
2009-02-26,1,
2008-09-25,1,
2008-09-25,1,
2008-05-02,-,
2008-05-02,-,
2008-05-02,6,
2008-05-02,-,
2008-05-02,-,
2008-05-02,2,
2008-05-02,-,
2008-05-02,1,
2008-05-02,-,
2008-05-02,-,
2008-05-02,-,
2008-05-02,-,
2008-05-02,4,
2006-09-30,1,000000000
2008-05-01,-,
2008-05-02,2,
2008-05-02,-,
2008-05-01,1,
2008-05-02,-,
2008-05-01,1,
2008-05-02,-,
2008-05-01,4,
2008-05-02,4,
2008-05-02,-,
2008-05-02,2,
2008-05-01,-,
2008-04-30,0,
2008-03-13,1,
2008-03-13,1,
2008-03-13,2,
2008-03-13,6,
2008-03-13,9,
2008-01-11,7,
2008-01-11,9,
2008-01-11,8,
2008-01-11,3,
2008-01-11,4,
2008-01-11,8,
2008-01-11,6,
2008-01-11,1,
2008-01-11,2,
2008-01-11,6,
2008-01-11,7,
2008-01-11,1,
2008-01-11,1,
2008-01-11,1,
2008-01-11,7,
2008-01-11,1,
2008-01-11,2,
2008-01-11,7,
